"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0Z170","2019-09-19 00:00:00","199.000","346.000","1.100","25.700","0.700","990.300","-99.000","0.000","-99.000","-99.000","-99.000","30.900","","21.600",""
"C0Z100","2019-09-19 00:00:00","36.000","358.000","0.400","24.200","0.780","1008.400","-99.000","0.000","-99.000","-99.000","-99.000","32.500","","22.300",""
"C0U710","2019-09-19 00:00:00","1942.000","0.000","0.000","10.700","0.990","808.600","-99.000","6.500","-99.000","-99.000","-99.000","15.500","","10.400",""
"C0SA30","2019-09-19 00:00:00","92.000","14.000","3.900","25.500","0.660","1000.600","-99.000","0.000","-99.000","-99.000","-99.000","29.700","","24.600",""
"C0V500","2019-09-19 00:00:00","6.000","0.000","0.000","28.600","0.830","1007.900","-99.000","0.000","-99.000","-99.000","-99.000","31.000","","26.900",""
"CM0160","2019-09-19 00:00:00","196.000","107.000","0.400","24.200","0.760","992.000","-99.000","0.000","-99.000","-99.000","-99.000","35.400","","22.400",""
"C0V350","2019-09-19 00:00:00","36.000","257.000","0.500","25.800","0.900","1005.600","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","24.800",""
"C0W120","2019-09-19 00:00:00","58.000","20.000","11.300","25.100","0.720","1003.100","-99.000","0.000","19.700","17.000","","27.000","","25.100",""
"C0R470","2019-09-19 00:00:00","103.000","7.000","1.000","26.500","0.940","997.600","-99.000","0.000","-99.000","-99.000","-99.000","32.700","","25.200",""
"C0M770","2019-09-19 00:00:00","164.000","298.000","1.200","23.600","0.990","989.700","-99.000","3.500","-99.000","-99.000","-99.000","31.500","","23.100",""
"C0S930","2019-09-19 00:00:00","248.000","214.000","0.600","24.100","0.810","982.800","-99.000","0.000","-99.000","-99.000","-99.000","31.000","","21.400",""
"C0F9Y0","2019-09-19 00:00:00","3313.000","326.000","1.400","7.900","0.750","686.800","-99.000","0.000","-99.000","-99.000","-99.000","20.700","","5.300",""
